NQUEST,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,FERIEDI,FERIENO,PSTRA,ORESTRA,YLM,INTEG,YLNM,NORD
24630,1,1,1,,1,40,2,7,2,,23000,2,0,1
24630,1,1,2,10,3,37,1,,2,,19000,2,0,2
24630,1,1,2,9,2,37,1,,2,,10000,2,0,3
24635,1,1,1,,5,37,2,10,1,2,30000,1,900,1
24646,1,1,1,,4,40,1,,1,0,24000,2,0,2
24655,1,1,1,,4,40,1,,1,1,18000,2,0,2
24764,1,1,1,,5,9,1,,1,4,24000,2,0,1
24790,1,1,1,,7,39,1,,1,1,24000,2,0,2
24809,1,1,1,,6,45,1,,2,,35000,2,0,3
24809,1,1,1,,1,44,1,,2,,20000,2,0,4
24849,1,1,1,,2,36,2,15,2,,23000,2,0,1
24849,1,2,2,10,4,20,1,,2,,4500,2,0,2
24853,1,1,1,,6,40,2,20,1,3,36000,2,0,1
