NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YM3,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
55777,22176,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,176,176,0,0,0
55783,9100,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55799,65260,26000,26000,0,0,0,0,0,0,0,0,0,24000,24000,0,0,15260,12000,0,12000,3260,440,0,2820,0
55832,26040,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,2640,0,0,0,2640,2640,0,0,0
55840,58600,49000,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,9600,0,9600,0,0,0,0,0
55842,12410,0,0,0,10010,10010,10010,0,0,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
55843,34300,16800,16800,0,17500,17500,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55876,30400,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,9600,9600,0,9600,0,0,0,0,0
55885,43607.487811,15000,15000,0,20150,20150,20150,0,0,0,0,0,0,0,0,0,8457.487811,8400,0,8400,57.487811049,57.487811049,0,0,0
55887,39750,30000,30000,0,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55891,23400,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55917,57682.496168,0,0,0,48550,47450,47450,0,1100,1100,0,0,0,0,0,0,9132.4961679,9200,0,9200,-67.50383215,732.49616785,0,0,800
56039,72000.831479,34000,34000,0,23400,23400,23400,0,0,0,0,0,10000,10000,0,0,4600.8314792,0,0,0,4600.8314792,4600.8314792,0,0,0
56070,31990,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,9990,9000,0,9000,990,990,0,0,0
56080,81832,0,0,0,0,0,0,0,0,0,0,0,73500,42000,11000,42500,8332,6000,0,6000,2332,2332,0,0,0
56097,43643.493188,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,19643.493188,12000,0,12000,7643.4931877,1867.5536928,0,5775.9394948,0
56165,183498.08783,28000,28000,0,0,0,0,0,0,0,0,0,107480.6891,108030.6891,550,0,48017.398732,21000,0,21000,27017.398732,387.56195967,2497.0087389,24132.828034,0
56174,81948.581374,53000,50000,3000,0,0,0,0,0,0,0,0,0,0,0,0,28948.581374,22887.519175,0,22887.519175,6061.0621988,1722.3873011,0,4338.6748977,0
56177,71176,71000,71000,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,176,176,0,0,0
56202,51486.406247,25000,25000,0,700,0,0,0,700,0,700,0,12000,22000,10000,0,13786.406247,13300,0,13300,486.40624746,486.40624746,0,0,0
56215,66988.632317,0,0,0,9100,9100,9100,0,0,0,0,0,43000,45000,2000,0,14888.632317,13200,0,13200,1688.6323171,1688.6323171,0,0,0
56251,40946,9000,9000,0,13650,13650,13650,0,0,0,0,0,0,0,0,0,18296,17680,0,17680,616,616,0,0,0
56261,95482.219724,70000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,25482.219724,14400,0,14400,11082.219724,11882.219724,0,0,800
56262,72932,0,0,0,18000,18000,18000,0,0,0,0,0,50000,50000,0,0,4932,4800,0,4800,132,132,0,0,0
56270,50480,20000,20000,0,27040,27040,27040,0,0,0,0,0,0,0,0,0,3440,3000,0,3000,440,440,0,0,0
56276,26760,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,11160,10500,0,10500,660,660,0,0,0
56327,37147.95543,0,0,0,24700,24700,24700,0,0,0,0,0,0,0,0,0,12447.95543,12000,0,12000,447.95543033,447.95543033,0,0,0
56330,116681.37119,87000,85000,2000,0,0,0,0,0,0,0,0,0,0,0,0,29681.371186,28000,4000,24000,1681.3711862,1921.3711862,0,0,240
