NQUEST,NORD,INTPER,NATTIVITA,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
611512,1,1,1,1,1,1990,930,13,2,,60
611512,2,1,1,2,1,2019,530,13,2,,
611774,1,1,1,1,1,2010,1500,13,2,,100
614660,1,1,1,3,1,2007,510,13,2,,
614683,1,1,1,1,1,2008,2000,13,2,,75
614683,2,1,1,1,1,2020,900,13,2,,60
614783,1,1,1,1,1,1998,1300,13,2,,80
615399,1,1,1,1,1,2019,1400,13,2,,90
616016,1,1,1,1,1,1975,750,13,2,,60
616016,1,1,2,3,1,2013,350,13,2,,
617023,1,1,1,1,1,2019,1780,13,2,,80
617023,2,1,1,1,1,2022,1564,4,2,,92
617231,1,1,1,1,1,2006,750,13,2,,40
617398,1,1,1,1,1,2011,4700,12,2,,80
617902,2,1,1,1,1,2008,3000,12,2,,50
620481,1,1,1,1,1,2019,1767,13,2,,80
621766,1,1,1,1,1,2011,1300,13,2,,90
622306,1,1,1,1,1,2020,500,13,2,,40
622306,1,1,2,3,1,2007,720,13,2,,
622915,1,1,1,3,1,2022,510,12,2,,
623305,1,1,1,5,1,2022,1250,12,2,,
623606,1,2,1,1,1,2016,620,14,2,,50
623606,2,2,1,1,1,2018,900,13,2,,70
623614,1,2,1,1,1,2020,800,13,2,,70
623619,1,1,1,3,1,1995,590,13,2,,
625193,1,1,1,1,1,1999,1500,13,2,,90
625193,2,1,1,1,1,1982,1200,13,2,,60
625983,1,1,1,1,1,2019,1530,13,2,,90
625983,2,1,1,1,1,2020,1400,13,2,,80
627067,1,1,1,1,1,2001,1400,13,2,,70
629458,1,1,1,1,1,2021,1200,13,2,,70
630345,1,1,1,1,1,2021,1100,13,2,,70
631016,1,1,1,1,1,1999,2500,13,2,,90
631016,1,1,2,5,1,2022,500,6,2,,
631016,2,1,1,1,1,1986,920,13,2,,70
631306,1,1,1,1,1,2005,1300,13,2,,80
631306,1,1,2,5,1,2015,500,13,2,,
631954,1,1,1,1,1,2006,900,13,2,,70
632099,1,1,1,1,1,2000,1200,13,2,,80
632099,2,1,1,5,1,2002,600,13,2,,
632118,1,1,1,1,1,1997,2500,13,2,,100
632118,1,1,2,5,1,2010,500,13,2,,
633654,1,1,1,1,1,2009,2200,13,2,,110
633941,1,1,1,1,1,2000,850,13,2,,80
634442,1,1,1,4,1,2001,140,13,2,,
634442,2,1,1,1,1,1997,1200,13,2,,70
635007,1,1,1,1,1,1994,515,12,2,,50
635514,2,1,1,5,1,2018,900,12,2,,
636206,1,1,1,1,1,1993,1300,13,2,,70
636289,1,1,1,1,1,2003,1680,13,2,,90
636289,2,2,1,1,1,1992,850,13,2,,50
636401,1,1,1,1,1,1998,720,13,2,,50
636401,1,1,2,3,1,2017,480,13,2,,
636407,1,1,1,1,1,2012,860,13,2,,100
636407,1,1,2,1,3,2007,100,12,2,,10
636407,2,2,1,1,1,2010,515,13,2,,70
636418,1,1,1,1,1,1993,470,13,2,,50
636418,1,1,2,1,3,1993,500,12,2,,50
636418,2,2,1,1,1,1992,520,13,2,,80
637701,1,1,1,1,1,1997,800,13,2,,70
637701,2,1,1,1,1,2012,800,13,2,,70
638250,1,1,1,1,1,2008,1240,13,2,,75
638339,1,1,1,1,1,2016,1931,12,1,300,100
638339,2,1,1,1,1,2017,850,13,1,300,70
638360,1,1,1,1,1,2010,2100,13,2,,90
639013,1,1,1,3,1,2012,549,13,2,,
639575,1,1,1,1,1,2004,650,13,2,,50
640164,1,1,1,1,1,2006,2000,13,2,,90
640164,2,1,1,1,1,1988,1700,13,2,,85
641084,1,1,1,3,1,2018,560,13,2,,
648534,1,1,1,1,1,2019,750,14,2,,50
648636,2,1,1,5,1,1988,550,13,2,,
648636,2,1,2,5,1,2010,290,13,2,,
649032,1,1,1,1,1,2010,1470,13,2,,70
649071,2,2,1,1,1,2002,1200,13,2,,70
650027,1,1,1,1,1,2015,1200,14,2,,70
650091,1,1,1,1,1,2005,750,13,2,,80
650091,2,1,1,1,1,2007,500,13,2,,80
650091,2,1,2,3,1,2007,140,13,2,,
670362,1,1,1,5,1,1978,670,13,2,,
670362,2,1,1,1,1,1980,800,13,2,,80
670670,1,1,1,1,1,1999,900,12,2,,60
670711,1,1,1,1,1,2022,1000,13,2,,80
670711,2,1,1,1,1,2006,850,13,2,,80
670762,1,1,1,1,1,2007,530,13,2,,70
670762,1,1,2,3,1,1984,620,13,2,,
670853,1,1,1,3,1,2015,600,12,2,,
670853,3,1,1,1,1,2000,700,12,2,,70
671153,1,1,1,1,1,2010,1450,13,2,,10
671153,2,1,1,1,1,2012,210,13,2,,1
671362,1,1,1,1,1,2020,1875,13,2,,99
671520,1,2,1,5,1,1984,870,13,2,,
671698,1,2,1,1,1,1996,1110,13,2,,50
672486,1,1,1,1,1,1999,1300,12,2,,30
672541,1,1,1,1,1,2000,1700,13,2,,90
672541,2,2,1,1,1,1996,1800,13,2,,100
