NQUEST,NORD,CERC,MCERC1,MCERC2,MCERC3,MCERC4,MCERC5,MCERC6,MCERC7,MCERC8,MCERC9,MCERC10,MCERC11,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,DISOC,CASSINT,DIS1,DIS2,DIS3,DIS4,DIS5,DISTOT,DISTEL,ETAPEN,ETALAV2,NOMALAT,MALAT
216065,1,2,,,,,,,,,,,,2,0,0,3,14,1,28,,2,2,,,,,,,,,,,
216065,2,2,,,,,,,,,,,,2,0,0,3,14,1,35,,2,1,3,3,3,3,3,3,,,,,
217002,1,2,,,,,,,,,,,,2,0,0,1,14,1,12,,2,2,,,,,,,,,,,
217004,1,2,,,,,,,,,,,,2,0,0,3,11,1,29,,2,2,,,,,,,,53,23,1,0
217004,2,2,,,,,,1,,,,,,2,0,0,2,15,1,13,,1,2,4,3,3,3,4,2,,,,,
217009,1,2,,,,,,,,,,,,2,0,0,1,18,1,35,,2,2,,,,,,,,,,,
217009,2,2,,,,,,,,,,,,2,0,0,1,26,1,7,,2,2,,,,,,,,65,,2,15
217013,1,2,,,,,,,,,,,,2,0,0,1,48,1,18,,2,2,,,,,,,,,,,
217013,2,2,,,,,,,,,,,,2,0,0,1,19,1,12,,2,2,,,,,,,,60,,1,0
217016,1,2,,,,,,,,,,,,2,0,0,3,14,1,35,,2,2,,,,,,,,,,,
217016,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
217016,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
217019,1,2,,,,,,,,,,,,2,0,0,3,15,1,31,,2,2,,,,,,,,51,23,2,5
217019,2,2,,,,,,,1,,,,,2,0,0,1,17,1,10,,2,2,,,,,,,,,,,
217021,1,2,,,,,,,,,,,,2,0,0,2,13,1,36,,2,2,,,,,,,,53,29,1,0
217021,2,2,,,,,,,,,,,,2,0,0,1,15,1,30,,2,2,,,,,,,,50,,1,0
217021,3,2,,,,,,,,,,,,2,0,0,1,20,1,2,,2,2,,,,,,,,65,,1,0
217022,1,2,,,,,,,,,,,,2,0,0,1,13,2,0,0,2,2,,,,,,,,,,,
217023,1,2,,,,,,,,,,,,2,0,0,2,14,1,15,,2,2,,,,,,,,,,,
217025,1,2,,,,,,,,,,,,2,0,0,1,16,1,33,,2,2,,,,,,,,56,,1,0
217025,2,2,,,,,,,,,,,,2,0,0,2,16,1,17,,2,2,,,,,,,,60,31,1,0
217025,3,2,,,,,,,,,,,,2,0,0,1,20,1,2,,2,2,,,,,,,,60,,1,0
217025,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
217026,1,2,,,,,,,,,,,,2,0,0,5,14,1,35,,2,2,,,,,,,,,,,
217026,2,2,,1,,,,,,,,,,2,0,0,2,14,1,11,,2,2,,,,,,,,,,,
217026,3,2,,,,,,,,,,,,2,0,0,2,14,1,16,,2,2,,,,,,,,65,23,1,0
217026,4,2,,,,,,,,,,,,2,0,0,1,15,1,4,,2,2,,,,,,,,65,,1,0
217027,1,2,,,,,,,,,,,,2,0,0,2,15,1,23,,2,2,,,,,,,,,,,
