NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
1120,1,1,1,1946,,1,1,7,,8,5,2,2,4,,6,1,5,49,16,4,3,2,3,3,1.3897194412,16,3
1120,2,2,2,1946,,2,1,5,5,,5,2,2,4,,9,,5,49,16,4,3,2,3,3,1.3897194412,19,3
1120,3,2,4,1909,,5,4,5,5,,2,2,1,15,3,9,,5,86,16,4,3,2,5,3,1.3897194412,20,3
1120,4,1,3,1979,,3,2,3,,,5,2,2,17,,,,5,16,16,4,3,2,1,3,1.3897194412,16,3
1120,5,1,3,1981,,4,2,3,,,5,2,2,17,,,,5,14,16,4,3,2,1,3,1.3897194412,16,3
1137,1,1,1,1921,,1,1,2,,,2,1,2,15,1,2,1,2,74,18,4,3,2,5,2,0.3990723174,18,3
1137,2,2,2,1925,,2,1,2,,,2,1,2,16,,,,2,70,18,4,3,2,5,2,0.3990723174,18,3
1238,1,1,1,1937,,1,1,2,,,4,2,2,1,,5,1,4,58,15,4,3,2,4,1,0.5157507987,15,3
1238,2,2,2,1931,,2,1,2,,,4,2,2,13,,,,4,64,15,4,3,2,4,1,0.5157507987,15,3
1238,3,1,3,1969,,5,2,5,1,,5,2,2,11,,,,4,26,15,4,3,2,1,1,0.5157507987,15,3
1238,4,2,3,1972,,6,2,5,6,,5,2,2,11,,,,4,23,15,4,3,2,1,1,0.5157507987,15,3
1361,1,1,1,1928,,1,1,7,,8,2,1,1,15,4,6,1,3,67,18,4,3,2,5,2,0.3931676885,18,3
1361,2,2,2,1930,,2,1,5,3,,4,2,2,15,4,6,2,3,65,18,4,3,2,4,2,0.3931676885,18,3
1361,3,2,3,1971,,3,2,5,3,,5,2,2,17,,,,3,24,18,4,3,2,1,2,0.3931676885,18,3
1367,1,1,1,1927,,1,1,2,,,1,1,2,15,8,4,1,2,68,18,4,3,2,5,2,0.4316224601,18,3
1367,2,2,2,1930,,2,1,1,,,3,1,2,16,,,2,2,65,18,4,3,2,4,2,0.4316224601,18,3
1371,1,1,1,1950,,1,1,2,,,3,1,2,1,,9,1,5,45,18,4,3,1,3,1,0.4188148641,18,3
1371,2,2,2,1955,,2,1,2,,,3,2,2,13,,,,5,40,18,4,3,1,2,1,0.4188148641,18,3
1371,3,2,3,1974,,3,2,3,,,4,2,2,11,,,,5,21,18,4,3,1,1,1,0.4188148641,18,3
1371,4,1,3,1976,,4,2,3,,,4,2,2,11,,,,5,19,18,4,3,1,1,1,0.4188148641,18,3
1371,5,1,3,1984,,5,2,2,,,4,2,2,17,,,,5,11,18,4,3,1,1,1,0.4188148641,18,3
1387,1,2,1,1925,,1,1,2,,,4,2,2,15,1,1,1,2,70,16,4,3,2,5,2,0.5015468977,16,3
1387,2,1,2,1923,,2,1,1,,,3,1,1,15,1,1,2,2,72,16,4,3,2,5,2,0.5015468977,16,3
1391,1,2,1,1929,,1,4,3,,,1,1,1,16,,,1,1,66,16,4,3,2,5,1,0.5173239253,16,3
1492,1,1,1,1921,,1,1,2,,,2,1,2,15,1,3,1,2,74,5,2,1,0,5,2,2.205437306,5,1
1492,2,2,2,1926,,2,1,1,,,2,1,2,16,,,,2,69,5,2,1,0,5,2,2.205437306,5,1
1742,1,1,1,1933,,1,1,3,,,4,2,2,15,4,9,1,4,62,17,4,3,2,4,3,0.2181063225,17,3
