NQUEST,NORD,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
24911,2,4,1965,380,13,2,0,
24911,2,10,1982,100,12,2,0,
24920,1,1,1973,1600,12,2,0,
24920,1,3,1979,495,13,2,0,
24921,1,8,1970,2300,13,2,0,
24949,2,2,1993,125,13,2,0,
24967,1,5,1987,2300,13,2,0,57
24967,1,1,1977,294,13,2,0,
24979,3,6,1965,600,13,2,0,
24980,1,5,1972,1300,13,2,0,60
24980,1,13,1975,280,13,2,0,
24980,2,5,1972,1200,13,2,0,60
25007,1,5,1987,1833,13,2,0,67
25007,2,1,1989,620,13,2,0,50
25020,1,8,1978,2300,13,2,0,90
25020,2,8,1993,1200,13,2,0,40
25083,1,2,1969,800,13,2,0,
25083,2,2,1963,600,13,2,0,
25084,1,2,1976,1010,13,2,0,
25084,2,2,1960,630,13,2,0,
25085,1,8,1987,2500,13,2,0,90
25087,1,1,1991,1200,13,2,0,68
25087,2,1,1993,1200,13,2,0,92
25090,1,8,1992,2500,13,2,0,100
25090,2,1,1994,500,13,2,0,
25134,1,5,1982,2000,13,2,0,80
25138,5,3,1988,650,13,2,0,
25142,2,9,1995,700,13,1,800,
25142,2,9,1995,700,13,1,1000,
25142,2,1,1978,1600,13,1,1200,80
25309,1,1,1980,700,13,2,0,60
25322,1,9,1985,1200,13,2,0,
25373,1,1,1980,1700,13,2,0,80
25373,2,1,1979,615,13,2,0,50
25429,6,3,1961,950,13,2,0,
25439,1,1,1990,1900,13,2,0,70
25443,1,1,1993,2700,13,2,0,90
25448,1,1,1990,1650,13,2,0,65
25625,1,1,1988,707,13,2,0,52
25634,2,3,1988,500,13,2,0,
25649,1,1,1980,2100,12,1,105,100
25727,3,1,1975,300,12,2,0,
25727,3,3,1992,260,12,2,0,
25727,3,15,1992,213,12,2,0,
25754,1,1,1980,2500,13,2,0,
25756,2,1,1995,600,13,2,0,
25765,1,1,1979,1250,13,2,0,
25765,2,4,1994,235,13,2,0,
25883,1,1,1990,350,13,2,0,40
25883,1,3,1986,350,13,2,0,
25887,1,1,1982,1500,13,2,0,
25887,1,3,1993,59,13,2,0,
25897,1,1,1990,1020,13,2,0,
25897,1,15,1961,340,13,2,0,
25905,1,1,1989,1800,13,2,0,90
25905,2,1,1995,620,13,2,0,
25924,1,1,1987,1600,13,2,0,85
25924,2,5,1982,700,13,2,0,60
25927,1,1,1978,960,12,2,0,80
25927,1,3,1978,278,12,2,0,
25928,1,2,1946,250,13,2,0,
25928,1,3,1983,960,13,2,0,
25964,2,1,1994,700,13,2,0,
25968,1,1,1993,1900,13,2,0,80
25970,1,1,1981,1400,13,2,0,70
25974,1,1,1990,2100,13,2,0,95
25978,1,1,1981,1450,13,2,0,70
26006,1,1,1982,1500,13,2,0,80
26019,1,1,1993,1300,13,2,0,
26019,2,2,1994,350,13,2,0,
26020,1,1,1982,1050,13,2,0,
26040,1,1,1985,1000,13,2,0,60
26040,1,12,1969,480,12,2,0,
26040,4,1,1971,600,13,2,0,20
26040,4,3,1963,400,13,2,0,
26044,1,3,1992,1000,13,2,0,
26048,1,8,1994,4000,13,2,0,90
26161,5,1,1972,600,13,2,0,
26165,1,1,1986,1600,13,2,0,
26165,2,1,1986,1500,13,2,0,
26168,1,5,1980,2300,13,2,0,
26264,1,3,1964,1260,13,2,0,
26267,1,12,1973,390,13,2,0,
26281,1,3,1978,1300,13,2,0,
26281,1,1,1978,250,13,2,0,
26307,3,11,1995,346,13,2,0,
26313,1,1,1976,1200,13,2,0,
26313,2,6,1974,650,13,2,0,
26349,1,1,1988,2200,13,2,0,95
26349,2,1,1993,650,13,2,0,
