NQUEST,Y,CN,CD1,CD2,CD,C,S
23835,62703.327493,61200,0,10000,10000,71200,-8496.672507
23853,48095.068898,25200,0,1000,1000,26200,21895.068898
23854,79758.623945,44400,17000,0,17000,61400,18358.623945
23855,20620.942948,19200,0,0,0,19200,1420.9429484
23865,54108.933029,40800,0,0,0,40800,13308.933029
23888,93397.753901,75800,0,0,0,75800,17597.753901
23951,51042.911787,42700,0,0,0,42700,8342.9117875
23958,116459.3667,90000,1750,1500,3250,93250,23209.3667
23986,30227.088872,43500,0,0,0,43500,-13272.91113
24010,29763.073201,28800,0,0,0,28800,963.07320127
24021,24207.742543,24000,0,0,0,24000,207.74254301
24025,198326.2011,95000,0,5000,5000,100000,98326.201103
24030,36079.417431,24000,0,2300,2300,26300,9779.4174314
24035,10250,9000,0,0,0,9000,1250
24071,43400,19200,0,7000,7000,26200,17200
24080,44650.09535,21600,0,0,0,21600,23050.09535
24081,55983.551436,26000,0,0,0,26000,29983.551436
24085,35444.792565,26400,0,0,0,26400,9044.7925653
24105,49573.429086,31500,0,0,0,31500,18073.429086
24109,45606.805836,20400,0,3000,3000,23400,22206.805836
24114,74809.057028,48100,0,0,0,48100,26709.057028
24116,44441.555517,32400,0,0,0,32400,12041.555517
24119,29942.448243,21600,0,0,0,21600,8342.4482433
24123,4729.3830706,15180,0,0,0,15180,-10450.61693
24132,43772.896355,34224.610176,17000,0,17000,51224.610176,-7451.713821
24138,58858.942444,45865.427979,0,0,0,45865.427979,12993.514465
24144,79082.950999,30024.369818,0,0,0,30024.369818,49058.581181
24147,79909.56729,56535.426769,0,15000,15000,71535.426769,8374.1405214
24149,9100,9660,0,0,0,9660,-560
24150,37014.482459,32079.575053,0,0,0,32079.575053,4934.9074065
24158,34174.942968,27600,0,0,0,27600,6574.9429682
24170,55892.619441,47400,10000,0,10000,57400,-1507.380559
24171,28070.824339,15400,0,0,0,15400,12670.824339
24173,69439.621503,42000,0,0,0,42000,27439.621503
24186,24941.412687,18000,0,0,0,18000,6941.4126871
24194,35533.915166,30284.867495,0,600,600,30884.867495,4649.0476711
24195,53319.503999,33700,4500,0,4500,38200,15119.503999
24202,114738.1266,45600,0,4000,4000,49600,65138.126595
24210,29652.258967,14100,3500,0,3500,17600,12052.258967
24304,119828.83968,106800,0,5000,5000,111800,8028.8396755
24308,142888.27325,55507.496087,0,0,0,55507.496087,87380.777164
24311,83584.41838,55440,0,1600,1600,57040,26544.41838
24312,67631.324741,57600,0,0,0,57600,10031.324741
24315,62320.985558,44400,0,0,0,44400,17920.985558
24316,46110.700669,28183.423487,0,1000,1000,29183.423487,16927.277182
24317,30319.316587,24534.707215,0,0,0,24534.707215,5784.6093721
24322,39461.170183,33813.002003,0,5500,5500,39313.002003,148.16818048
24326,41187.037793,31200,0,0,0,31200,9987.0377931
24330,33248.89759,45852,0,0,0,45852,-12603.10241
24363,10711.433453,19200,0,0,0,19200,-8488.566547
24373,22000,20400,0,0,0,20400,1600
24374,64202.251341,30000,2000,0,2000,32000,32202.251341
24379,30786.295757,20400,0,0,0,20400,10386.295757
24382,34135.029938,18440.096841,0,0,0,18440.096841,15694.933097
24390,72503.026217,60200,0,0,0,60200,12303.026217
24392,54903.550273,44016.562189,0,0,0,44016.562189,10886.988084
24393,48532.19247,22200,0,0,0,22200,26332.19247
24409,43083.591766,44400,0,0,0,44400,-1316.408234
24415,55671.517667,27400,0,1000,1000,28400,27271.517667
24431,53496.475852,39600,0,0,0,39600,13896.475852
24434,51438.774647,36000,0,0,0,36000,15438.774647
24435,24399.897167,20200,0,400,400,20600,3799.8971673
24438,79429.117064,54759.718372,7000,0,7000,61759.718372,17669.398692
24446,42948.972151,29600,0,0,0,29600,13348.972151
24450,53489.901597,42600,0,0,0,42600,10889.901597
24507,19796.804279,6000,0,0,0,6000,13796.804279
24517,28080.014182,22100,0,0,0,22100,5980.014182
24525,31340.372559,20650,0,0,0,20650,10690.372559
24529,36630.593275,32392,0,2000,2000,34392,2238.5932748
24530,71667.948787,46800,19000,0,19000,65800,5867.9487871
24531,10000,14880,0,0,0,14880,-4880
24560,18413.956924,32400,0,800,800,33200,-14786.04308
24566,48964.180222,28800,0,0,0,28800,20164.180222
24571,44401.901122,22200,0,0,0,22200,22201.901122
24611,30907.219995,26400,0,7000,7000,33400,-2492.780005
24613,25479.95965,20400,0,0,0,20400,5079.9596503
24616,38709.347073,42000,0,6000,6000,48000,-9290.652927
24619,125448.19262,135000,0,0,0,135000,-9551.807383
24623,48838.937018,39100,0,0,0,39100,9738.9370181
24624,38395.785177,41640,0,1000,1000,42640,-4244.214823
24626,62434.591753,50400,0,0,0,50400,12034.591753
24628,27938.244929,24000,0,0,0,24000,3938.2449285
24630,34204.355835,32200,0,0,0,32200,2004.355835
24633,44700,42000,0,0,0,42000,2700
24635,56522.384378,27600,24000,4000,28000,55600,922.38437793
24645,27339.108485,27600,1500,0,1500,29100,-1760.891515
24646,21800,20700,0,0,0,20700,1100
24655,35657.908128,18000,0,1400,1400,19400,16257.908128
24659,41825.488317,27600,0,0,0,27600,14225.488317
24678,29926.506825,25200,0,0,0,25200,4726.5068251
24679,19656.846746,16200,0,0,0,16200,3456.8467458
24680,32204.795908,20160,0,0,0,20160,12044.795908
24689,15560,14400,0,0,0,14400,1160
24724,13571.773121,10200,0,450,450,10650,2921.7731215
24727,63290.882885,33600,0,0,0,33600,29690.882885
24731,45142.78104,24000,0,2000,2000,26000,19142.78104
24760,12088.441925,9600,0,0,0,9600,2488.4419251
24763,50088.321395,36700,0,1500,1500,38200,11888.321395
24764,27169.551102,25200,0,0,0,25200,1969.5511024
24770,34217.163076,15600,0,0,0,15600,18617.163076
24790,59990.769959,34600,20000,0,20000,54600,5390.7699592
24795,41563.442818,34400,0,0,0,34400,7163.4428179
24800,14571.269815,15000,0,0,0,15000,-428.7301852
24809,112081.28055,34800,7500,0,7500,42300,69781.280552
24835,54897.463068,27600,0,0,0,27600,27297.463068
24849,16900,15264,0,0,0,15264,1636
24853,29460.277134,26900,0,10000,10000,36900,-7439.722866
24860,92938.013972,46600,0,7500,7500,54100,38838.013972
24885,17648.088921,9600,0,0,0,9600,8048.0889208
24909,36835.5291,28800,0,0,0,28800,8035.5291
24911,23883.081116,39600,0,0,0,39600,-15716.91888
24912,66373.147724,39400,0,1500,1500,40900,25473.147724
24919,48027.89065,57960,0,0,0,57960,-9932.10935
24920,52777.1312,38400,0,0,0,38400,14377.1312
24921,37927.913293,28800,0,1000,1000,29800,8127.9132933
24924,36910.840212,28128,0,0,0,28128,8782.8402125
24931,57219.672271,27300,22000,0,22000,49300,7919.6722709
24940,58647.111622,28800,0,16000,16000,44800,13847.111622
24942,38898.035892,31200,0,0,0,31200,7698.0358917
24947,22102.783996,18072,0,1000,1000,19072,3030.7839962
24948,18575.513611,16920,0,2500,2500,19420,-844.4863889
24949,32033.989135,34600,0,0,0,34600,-2566.010865
24967,124437.54066,48000,0,0,0,48000,76437.540658
24974,92942.599571,60000,24000,0,24000,84000,8942.5995713
24979,82442.895886,84000,0,40000,40000,124000,-41557.10411
24980,49489.011735,33600,0,0,0,33600,15889.011735
24984,58693.764151,40400,0,0,0,40400,18293.764151
25007,54347.00728,36000,0,0,0,36000,18347.00728
25020,52986.526154,43200,0,0,0,43200,9786.5261543
25079,42061.551825,42000,0,0,0,42000,61.551824641
25081,68797.955149,30000,0,0,0,30000,38797.955149
25083,25618.496498,18553.913568,0,300,300,18853.913568,6764.5829305
25084,26862.652157,15003.554673,0,0,0,15003.554673,11859.097484
25085,33209.867513,31200,0,0,0,31200,2009.8675125
25087,37201.12909,20178.858622,0,0,0,20178.858622,17022.270468
25090,44777.656835,28800,0,500,500,29300,15477.656835
25128,44227.191679,26400,0,3000,3000,29400,14827.191679
25133,11423.258306,13200,0,0,0,13200,-1776.741694
