NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YTA3,YCR1,YL,YTP,YTA,YT,YM1,YM2,YM,YCR2,YCR3,YCR,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
5416,2,0,28000,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000
5686,1,0,0,28600,0,0,0,0,0,0,28600,0,28600,0,0,0,0,4800,4800,0,0,0,0,0,4800,33400
5697,1,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,32000,0,9600,9600,727.96818693,0,0,0,727.96818693,10327.968187,42327.968187
5816,1,0,0,16640,0,0,0,0,0,0,16640,0,16640,0,0,0,0,4800,4800,48.094238028,1305.6622806,0,0,1353.7565187,6153.7565187,22793.756519
5816,2,0,0,7995,0,0,0,0,0,0,7995,0,7995,0,0,0,0,0,0,0,0,0,0,0,0,7995
6013,1,0,0,9100,0,0,0,0,0,0,9100,0,9100,0,0,0,0,1200,1200,323.50385897,0,0,0,323.50385897,1523.503859,10623.503859
6090,1,0,0,18798,0,0,0,0,0,0,18798,0,18798,0,0,0,0,7200,7200,417.27617201,0,0,0,417.27617201,7617.276172,26415.276172
6090,2,0,7000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
6107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,13200,1080.5342358,0,0,0,1080.5342358,14280.534236,14280.534236
6107,2,0,26400,0,0,0,0,0,0,26400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26400
6107,3,0,23000,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000
6110,1,0,36200,0,0,0,0,0,0,36200,0,0,0,0,0,0,0,38000,38000,5020.1923327,0,0,0,5020.1923327,43020.192333,79220.192333
6110,2,0,0,13000,320,0,0,0,0,0,13320,0,13320,0,0,0,0,0,0,0,0,0,0,0,0,13320
6110,6,0,0,13000,0,0,0,0,0,0,13000,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000
6501,1,0,29000,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,161.15277953,1340.6610203,0,0,1501.8137998,1501.8137998,30501.8138
6522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.14854511,0,0,0,665.14854511,665.14854511,665.14854511
6522,2,0,21000,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
7015,1,0,0,0,0,0,0,0,0,0,0,0,0,20000,5000,15000,0,4294.8686535,4294.8686535,367.18908059,0,0,0,367.18908059,4662.0577341,19662.057734
7016,1,0,0,9600,0,0,0,0,0,0,9600,0,9600,0,0,0,0,2400,2400,75.960159039,0,0,0,75.960159039,2475.960159,12075.960159
7089,1,0,0,0,0,0,0,0,0,0,0,0,0,35000,400,34600,0,0,0,880.34965705,0,0,0,880.34965705,880.34965705,35480.349657
7089,2,0,0,19100,0,0,0,0,0,0,19100,0,19100,0,0,0,0,0,0,0,0,0,0,0,0,19100
7091,1,0,0,23100,0,0,0,0,0,0,23100,0,23100,0,0,0,0,4800,4800,223.36490202,0,0,0,223.36490202,5023.364902,28123.364902
7091,3,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
7097,1,0,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,6000,6000,218.42826406,995.21912234,0,0,1213.6473864,7213.6473864,32213.647386
7098,1,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,20000,0,7200,7200,539.90092552,0,0,0,539.90092552,7739.9009255,27739.900926
7155,1,140,27300,0,0,0,0,0,0,27440,0,0,0,0,0,0,0,14400,14400,56.616815094,0,0,0,56.616815094,14456.616815,41896.616815
7155,3,0,13200,0,0,0,0,0,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200
7155,4,0,3500,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
7160,1,0,0,7800,0,0,0,0,0,0,7800,0,7800,0,0,0,18100,19000,37100,1361.2083182,0,3627.6709871,0,4988.8793054,42088.879305,49888.879305
7165,1,1200,26000,0,0,0,0,0,0,27200,0,0,0,0,0,0,0,12000,12000,467.05173324,0,0,0,467.05173324,12467.051733,39667.051733
7165,2,0,26000,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000
7166,1,0,0,33800,0,0,0,0,0,0,33800,0,33800,0,0,0,0,27600,27600,1499.2872157,0,0,1300,199.28721572,27799.287216,61599.287216
7166,2,0,23660,0,0,0,0,0,0,23660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23660
7166,3,300,26000,0,0,0,0,0,0,26300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26300
7781,1,0,0,8060,0,0,0,0,0,0,8060,0,8060,0,0,0,0,3304.2233565,3304.2233565,871.20390269,1911.073333,0,0,2782.2772357,6086.5005922,14146.500592
7886,1,1800,45000,0,0,0,0,0,0,46800,0,0,0,0,0,0,0,12000,12000,351.91142307,0,0,1300,-948.0885769,11051.911423,57851.911423
7895,1,1610,40000,0,0,0,0,0,0,41610,0,0,0,0,0,0,0,18000,18000,103.16284799,0,0,0,103.16284799,18103.162848,59713.162848
7895,2,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,50000,0,0,0,0,0,0,0,0,0,50000
8168,1,0,0,15600,0,0,0,0,0,0,15600,0,15600,0,0,0,0,8400,8400,625.6632588,744.62459986,0,0,1370.2878587,9770.2878587,25370.287859
8168,2,0,18200,0,0,0,0,0,0,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18200
8331,1,0,60000,56000,0,0,0,0,0,60000,56000,0,56000,0,0,0,0,36000,36000,1381.71781,9016.5886768,3228.3481737,4290,9336.6546606,45336.654661,161336.65466
8331,2,0,22000,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
8331,3,0,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
