NQUEST,NORD,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM
26166,1,1,1,1,12,4,40,1,3,25000,2,0
26166,2,1,2,1,12,2,20,2,,12000,2,0
26199,1,1,1,1,12,6,40,2,,39000,2,0
26199,2,1,1,1,12,7,18,2,,24000,2,0
26201,1,1,1,1,12,6,36,1,,25000,1,600
26210,1,1,1,1,12,7,40,1,5,34000,1,1600
26223,1,1,1,1,12,6,40,2,,25000,1,500
26223,4,1,1,2,8,1,44,2,,5000,2,0
26228,1,1,1,1,12,7,40,2,,24000,2,0
26228,2,1,1,1,12,7,40,2,,30000,2,0
26229,1,1,1,1,12,7,36,2,,30000,2,0
26229,4,1,1,1,12,7,30,2,,20000,2,0
26239,1,1,1,1,12,6,48,2,,30000,2,0
26267,1,1,1,1,12,7,36,2,,19500,2,0
26283,3,1,1,1,12,7,36,2,,17000,2,0
26307,1,1,1,1,12,6,39,2,,29000,1,
26310,2,1,1,2,3,1,35,2,,400,2,0
26312,1,1,1,1,12,1,45,2,,14000,2,0
26312,2,1,1,1,12,6,40,1,3,26000,2,0
26326,1,1,1,1,12,7,36,1,0,34000,2,0
26329,1,1,1,1,12,4,40,2,,46000,1,1800
26329,3,1,1,1,12,5,40,1,2,20000,2,0
26349,3,1,1,1,12,7,36,1,3,27000,1,1000
26357,1,1,1,1,12,7,36,2,,36000,2,0
26424,1,1,1,2,3,6,40,2,,6300,2,0
