NQUEST,NORD,STA1,STA2,STA3,STB1,STB2,STB3,STB4,STC1,STC2,STC3,STC4,STC5,STC6,STC7,STD1,STD2,STD3,STD4,YTA1,YTA2,YTA3,YTB1,YTB2,YTB3,YTB4,YTC1,YTC2,YTC3,YTC4,YTC5,YTC6,YTC7,YTD1,YTD2,YTD3,YTD4
28364,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0
28418,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,49000,0,0,0,0,0,0,0,0,0,0,13000
28441,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
28460,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860
29107,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29341,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29341,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0
29341,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,500,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0
29341,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0
29367,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,0
29367,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0
29439,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
29597,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0
29684,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29704,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0
29802,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29819,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0
31092,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
31161,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0
31174,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0
31205,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,11800,0,0,0,0,0,0,0,0
31280,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0
31366,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0
31377,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
31416,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0
31423,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0
31448,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31577,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0
31665,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31671,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
31677,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
31677,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0
31695,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250
31723,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
31757,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
31762,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0
31781,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
31783,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
31783,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
31904,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0
31904,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0
32014,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32135,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32145,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32197,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0
32220,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,9600,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
32239,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
32257,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
32304,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0
32313,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0
32318,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0
32319,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
32363,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0
32556,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
32556,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,0,0,0
32601,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32668,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0
32709,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
32713,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0
32716,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0
32716,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0
32789,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32789,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32839,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0
32871,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
32875,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0
32878,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,9216,0,0,0,0,0,0,0,0,0,0
32890,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0
32893,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0
