NQUEST,DEPBANC,DEPBANR,DEPPOSC,DEPPOSR,NDEPBANC,NDEPBANR,NDEPPOSC,NDEPPOSR,IDEPBANC,IDEPBANR,IDEPPOSC,IDEPPOSR,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,TAXCC,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,ASSBANE1,ASSBANE2,ASSBANE3,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BANCOMAT,NBANCOMA,NPREL1,PRELMED1,BANCOME1,BANCOME2,BANCOME3,PAGAM4U,PAGAM4,POSE1,POSE2,POSE3,CARTA,CARTE,PCARTE,NPAGCART,CARTEE1,CARTEE2,CARTEE3,MINCON,NPREL2,PRELMED2,PRELE1,PRELE2,PRELE3,VERSAM,NVERS,VERSMED,VERSE1,VERSE2,VERSE3,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,SCORTA,SPESECON
324330,1,2,2,2,2,,,,2,,,,2,2,2,1,,,,,,,,,,,6,1,3000,1,2,,,,2,2,1,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,5,500,,,,1,1,,,,1,1,1,2,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,2000
324336,1,2,2,2,1,,,,1,,,,1,1,4,,,,,,,1,,,,2.5,,1,5000,1,0.75,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,0,,,,1,1,3,300,,,,2,0,,,,2,0,0,,,,,500,1,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1200
324343,1,2,2,2,2,,,,2,,,,2,2,4,,,,,,1,,,2,,3.5,,1,120000,1,30,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,1000,4,1000,,,,1,15,5000,,,,1,1,1,2,2,45,10,45,0,0,1000,7000
324358,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,,6,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,1700,,,,2,0,,,,,2,1,1,2,2,0,75,25,0,0,2000,2000
324362,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,1,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,1500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,1500,1500
324363,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,,6,3,,1,3,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,0,1,600,,,,2,0,,,,,1,1,2,2,2,50,50,0,0,0,1300,1300
324364,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,0,0,100,0,0,900,1800
324393,2,1,2,1,,1,,1,,2,,2,1,1,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3,400,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,200,1000
324408,2,1,2,2,,1,,,,2,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,300,1000
324410,1,2,2,2,2,,,,2,,,,2,2,3,1,1,,,,,,,,,,2,1,2000,1,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,2,4,500,,,,2,0,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,2000
324413,1,2,2,2,2,,,,2,,,,2,2,3,1,,,,,1,,,,,,3,3,,1,1,,,,2,2,1,2,0,1,0,0,0,0,0,0,0,2,0,,,,1,2,4,500,2,,,1,0.3333333333,2,,,1,1,1,0.3333333333,2,3,,300,0.3333333333,1000,2,,,2,0,,,,,2,1,1,2,2,0,80,20,0,0,1000,2000
324424,1,2,2,2,2,,,,2,,,,1,1,2,1,,,,,,,,,,,1,1,3000,1,4,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,3,300,,,,2,0,,,,2,0,0,,,,,200,1,1500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,200,1500
324429,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,6,3,,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,600,,,,2,0,,,,,1,2,1,2,2,50,0,50,0,0,1300,1300
